date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:50	769/769	---MCZ	404	error ('Not%20Found')	text/plain	date:Mon,%2018%20Dec%202023%2004:11:41%20GMT	https://www.upmenu.com/robots.txt		(from )
11:11:52	518249/518249	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Dec%202023%2004:11:42%20GMT	https://www.upmenu.com/blog/food-blogs/	E:/Desktop/blog-template/food-blog/www.upmenu.com/blog/food-blogs/index.html	(from )
11:11:54	150349/150349	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Dec%202023%2004:11:44%20GMT	https://www.upmenu.com/blog/food-blogs/o,baseURI	E:/Desktop/blog-template/food-blog/www.upmenu.com/blog/food-blogs/o,baseURI	(from https://www.upmenu.com/blog/food-blogs/)
11:11:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2004:11:45%20GMT	https://www.upmenu.com/blog/food-blogs/GET	E:/Desktop/blog-template/food-blog/www.upmenu.com/blog/food-blogs/GET	(from https://www.upmenu.com/blog/food-blogs/)
11:11:55	150341/150341	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Dec%202023%2004:11:46%20GMT	https://www.upmenu.com/blog/food-blogs/Edge/	E:/Desktop/blog-template/food-blog/www.upmenu.com/blog/food-blogs/Edge/index.html	(from https://www.upmenu.com/blog/food-blogs/)
11:11:55	647/647	---M--	200	added ('OK')	image/png	etag:%22287-5ea6eb8d7693b%22	https://www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-32x32.png	E:/Desktop/blog-template/food-blog/www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-32x32.png	(from https://www.upmenu.com/blog/food-blogs/)
11:11:56	4053/4053	---M--	200	added ('OK')	image/png	etag:%22fd5-5ea6eb8cb536f%22	https://www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-192x192.png	E:/Desktop/blog-template/food-blog/www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-192x192.png	(from https://www.upmenu.com/blog/food-blogs/)
11:11:56	9927/9927	---M--	200	added ('OK')	image/png	etag:%2226c7-5ea6eb8d69e1a%22	https://www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-180x180.png	E:/Desktop/blog-template/food-blog/www.upmenu.com/wp-content/uploads/2022/10/cropped-favicon-180x180.png	(from https://www.upmenu.com/blog/food-blogs/)
11:11:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2018%20Dec%202023%2004:11:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/Desktop/blog-template/food-blog/www.googletagmanager.com/gtm.55445.delayed	(from https://www.upmenu.com/blog/food-blogs/)
11:11:57	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2018%20Dec%202023%2004:11:48%20GMT	http://connect.facebook.net/en_US/fbevents.js	E:/Desktop/blog-template/food-blog/connect.facebook.net/en_US/fbevents.6.delayed	(from https://www.upmenu.com/blog/food-blogs/)
11:11:57	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2018%20Dec%202023%2004:11:48%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/Desktop/blog-template/food-blog/connect.facebook.net/en_US/fbevents.js	(from https://www.upmenu.com/blog/food-blogs/)
11:11:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2004:11:49%20GMT	https://www.upmenu.com/blog/food-blogs/e	E:/Desktop/blog-template/food-blog/www.upmenu.com/blog/food-blogs/e	(from https://www.upmenu.com/blog/food-blogs/)
11:11:59	54493/54493	---M--	200	added ('OK')	image/jpeg	etag:%22d4dd-5fd75dd8a8f92%22	https://www.upmenu.com/wp-content/uploads/2023/06/Best_Food_Blogs.jpg	E:/Desktop/blog-template/food-blog/www.upmenu.com/wp-content/uploads/2023/06/Best_Food_Blogs.jpg	(from https://www.upmenu.com/blog/food-blogs/)
